Document ID,text_size,Size Classification (Range),Size Classification (Thirds),File Type
2503,95.41,Small,Lower,msg
2504,856893.44,Large,Lower,pdf
2505,758.12,Small,Mid,pdf
2506,26615.79,Medium,Mid,pdf
2507,829.34,Small,Mid,pdf
2508,10891.30,Medium,Lower,excel
2509,10144.95,Medium,Lower,excel
2510,19241.40,Medium,Mid,excel
2511,28468.51,Medium,Mid,pdf
2512,400.09,Small,Lower,pdf
2513,464.22,Small,Lower,pdf
2514,446.16,Small,Lower,pdf
2515,684.77,Small,Mid,pdf
2516,526.53,Small,Mid,excel
2517,28223.94,Medium,Mid,pdf
2518,7895.47,Medium,Lower,excel
2519,863.46,Small,Mid,pdf
2520,16429.89,Medium,Mid,pdf
2521,417.18,Small,Lower,excel
2522,15568.21,Medium,Mid,excel
2523,63.09,Small,Lower,msg
2524,717.73,Small,Mid,excel
2525,720.59,Small,Mid,pdf
2526,379.19,Small,Lower,pdf
2527,441.41,Small,Lower,excel
2528,15999.66,Medium,Mid,excel
2529,797.60,Small,Mid,pdf
2530,679.73,Small,Mid,pdf
2531,3008237.62,Large,Mid,excel
2532,8134.13,Medium,Lower,excel
2533,671.73,Small,Mid,excel
2534,86.95,Small,Lower,doc
2535,546.96,Small,Mid,pdf
2536,811.09,Small,Mid,pdf
2537,959.74,Small,Mid,excel
2538,508.84,Small,Mid,pdf
2539,13620.22,Medium,Lower,excel
2540,13447.91,Medium,Lower,excel
2541,495.45,Small,Lower,pdf
2542,367.40,Small,Lower,pdf
2543,426.75,Small,Lower,excel
2544,1560.27,Medium,Lower,pdf
2545,26831.27,Medium,Mid,excel
2546,404.53,Small,Lower,pdf
2547,648.47,Small,Mid,excel
2548,723.77,Small,Mid,pdf
2549,698.97,Small,Mid,pdf
2550,22822.12,Medium,Mid,excel
2551,974.06,Small,Mid,pdf
2552,187.61,Small,Lower,excel
2553,409.09,Small,Lower,excel
2554,306.07,Small,Lower,excel
2555,375.26,Small,Lower,pdf
2556,736.59,Small,Mid,pdf
2557,473.84,Small,Lower,excel
2558,27659.22,Medium,Mid,pdf
2559,12992.07,Medium,Lower,pdf
2560,902.18,Small,Mid,pdf
2561,937.17,Small,Mid,excel
2562,166.93,Small,Lower,pdf
2563,754.81,Small,Mid,pdf
2564,279.61,Small,Lower,pdf
2565,442.36,Small,Lower,excel
2566,29.89,Small,Lower,doc
2567,17119.22,Medium,Mid,pdf
2568,62.21,Small,Lower,msg
2569,165.13,Small,Lower,excel
2570,861.43,Small,Mid,excel
2571,907265.15,Large,Lower,excel
2572,310.28,Small,Lower,pdf
2573,467.00,Small,Lower,excel
2574,150.20,Small,Lower,pdf
2575,352.32,Small,Lower,pdf
2576,145.95,Small,Lower,pdf
2577,21597.57,Medium,Mid,excel
2578,297.22,Small,Lower,excel
2579,2034.77,Medium,Lower,pdf
2580,115.80,Small,Lower,pdf
2581,919.41,Small,Mid,excel
2582,846.71,Small,Mid,excel
2583,164.52,Small,Lower,pdf
2584,576.27,Small,Mid,excel
2585,513.08,Small,Mid,pdf
2586,771.69,Small,Mid,excel
2587,14.66,Small,Lower,msg
2588,916.55,Small,Mid,excel
2589,405.93,Small,Lower,pdf
2590,24535.00,Medium,Mid,pdf
2591,323.04,Small,Lower,excel
2592,20595.28,Medium,Mid,pdf
2593,10298.33,Medium,Lower,pdf
2594,219.04,Small,Lower,excel
2595,21162.34,Medium,Mid,excel
2596,3019771.85,Large,Mid,pdf
2597,298.38,Small,Lower,pdf
2598,29886.99,Medium,Mid,excel
2599,15963.93,Medium,Mid,excel
2600,932.15,Small,Mid,pdf
2601,945.15,Small,Mid,pdf
2602,997.33,Small,Mid,pdf
2603,725.33,Small,Mid,pdf
2604,9273.96,Medium,Lower,excel
2605,574.64,Small,Mid,pdf
2606,25971.48,Medium,Mid,excel
2607,3776797.31,Large,Mid,excel
2608,6636.71,Medium,Lower,excel
2609,969.29,Small,Mid,pdf
2610,8460.08,Medium,Lower,excel
2611,791.82,Small,Mid,pdf
2612,11767.02,Medium,Lower,excel
2613,8043.97,Medium,Lower,pdf
2614,20967.48,Medium,Mid,excel
2615,11278.30,Medium,Lower,excel
2616,7966.62,Medium,Lower,pdf
2617,17.20,Small,Lower,msg
2618,2274.60,Medium,Lower,excel
2619,8233.08,Medium,Lower,excel
2620,11151.13,Medium,Lower,pdf
2621,127078.91,Large,Lower,pdf
2622,549.15,Small,Mid,excel
2623,25966.09,Medium,Mid,pdf
2624,357.71,Small,Lower,excel
2625,13.16,Small,Lower,msg
2626,565.35,Small,Mid,excel
2627,676.38,Small,Mid,pdf
2628,259.89,Small,Lower,pdf
2629,136.97,Small,Lower,pdf
2630,724.99,Small,Mid,excel
2631,396.60,Small,Lower,pdf
2632,872.95,Small,Mid,excel
2633,75.07,Small,Lower,msg
2634,998.05,Small,Mid,pdf
2635,948.92,Small,Mid,pdf
2636,425.19,Small,Lower,pdf
2637,4661903.81,Large,Mid,excel
2638,13015.31,Medium,Lower,excel
2639,235.92,Small,Lower,excel
2640,800.28,Small,Mid,excel
2641,11321.60,Medium,Lower,excel
2642,970.13,Small,Mid,excel
2643,7046.18,Medium,Lower,pdf
2644,309.34,Small,Lower,excel
2645,3.95,Small,Lower,doc
2646,1691.20,Medium,Lower,pdf
2647,27429.93,Medium,Mid,excel
2648,12590.51,Medium,Lower,excel
2649,22256.90,Medium,Mid,excel
2650,6654.50,Medium,Lower,excel
2651,406.55,Small,Lower,pdf
2652,23776.70,Medium,Mid,excel
2653,787.51,Small,Mid,excel
2654,872.55,Small,Mid,excel
2655,1157.50,Medium,Lower,pdf
2656,475.39,Small,Lower,pdf
2657,111.05,Small,Lower,pdf
2658,1188564.13,Large,Lower,pdf
2659,6317.99,Medium,Lower,pdf
2660,247.37,Small,Lower,excel
2661,36.88,Small,Lower,doc
2662,1680.77,Medium,Lower,pdf
2663,497.76,Small,Lower,excel
2664,5804.34,Medium,Lower,pdf
2665,16587.23,Medium,Mid,excel
2666,899.72,Small,Mid,excel
2667,3548.78,Medium,Lower,excel
2668,461.37,Small,Lower,excel
2669,181.32,Small,Lower,pdf
2670,763.18,Small,Mid,pdf
2671,3781247.38,Large,Mid,excel
2672,2651408.89,Large,Mid,pdf
2673,439.66,Small,Lower,pdf
2674,1675.05,Medium,Lower,excel
2675,9945.02,Medium,Lower,pdf
2676,18477.03,Medium,Mid,pdf
2677,25271.91,Medium,Mid,pdf
2678,4226797.63,Large,Mid,pdf
2679,4696611.48,Large,Mid,pdf
2680,154.47,Small,Lower,pdf
2681,21583.36,Medium,Mid,pdf
2682,25537.32,Medium,Mid,excel
2683,21596.28,Medium,Mid,pdf
2684,750.30,Small,Mid,pdf
2685,827.10,Small,Mid,pdf
2686,783.58,Small,Mid,excel
2687,21692.55,Medium,Mid,pdf
2688,834.98,Small,Mid,excel
2689,1525308.09,Large,Lower,pdf
2690,391.36,Small,Lower,excel
2691,24809.39,Medium,Mid,excel
2692,556.06,Small,Mid,pdf
2693,314.56,Small,Lower,excel
2694,14.29,Small,Lower,msg
2695,953.40,Small,Mid,excel
2696,2369339.61,Large,Lower,excel
2697,200.95,Small,Lower,excel
2698,343.15,Small,Lower,pdf
2699,71.11,Small,Lower,msg
2700,1770057.38,Large,Lower,pdf
2701,7529.62,Medium,Lower,excel
2702,118.47,Small,Lower,excel
2703,2121.13,Medium,Lower,excel
2704,19701.27,Medium,Mid,excel
2705,278.64,Small,Lower,excel
2706,925.10,Small,Mid,pdf
2707,454.77,Small,Lower,excel
2708,13378.03,Medium,Lower,pdf
2709,324.04,Small,Lower,pdf
2710,661.25,Small,Mid,pdf
2711,865.25,Small,Mid,excel
2712,568.28,Small,Mid,excel
2713,3641053.87,Large,Mid,pdf
2714,14096.10,Medium,Lower,excel
2715,874.11,Small,Mid,excel
2716,6783.66,Medium,Lower,excel
2717,10082.87,Medium,Lower,excel
2718,350.46,Small,Lower,excel
2719,12.76,Small,Lower,doc
2720,96.17,Small,Lower,doc
2721,19374.49,Medium,Mid,pdf
2722,9323.01,Medium,Lower,pdf
2723,16101.80,Medium,Mid,excel
2724,17979.33,Medium,Mid,excel
2725,127.11,Small,Lower,pdf
2726,617.24,Small,Mid,pdf
2727,2086623.84,Large,Lower,excel
2728,988.29,Small,Mid,excel
2729,10586.94,Medium,Lower,pdf
2730,456.10,Small,Lower,pdf
2731,741.56,Small,Mid,excel
2732,19312.45,Medium,Mid,pdf
2733,1612667.59,Large,Lower,excel
2734,565.13,Small,Mid,pdf
2735,2671108.73,Large,Mid,excel
2736,858.72,Small,Mid,pdf
2737,130.91,Small,Lower,excel
2738,386.73,Small,Lower,excel
2739,413.09,Small,Lower,pdf
2740,633.70,Small,Mid,pdf
2741,5203.88,Medium,Lower,pdf
2742,8258.40,Medium,Lower,excel
2743,17024.54,Medium,Mid,excel
2744,959.32,Small,Mid,excel
2745,475.67,Small,Lower,excel
2746,442752.08,Large,Lower,excel
2747,612.26,Small,Mid,pdf
2748,281.64,Small,Lower,excel
2749,28209.30,Medium,Mid,excel
2750,469.16,Small,Lower,excel
2751,29088.06,Medium,Mid,pdf
2752,807.33,Small,Mid,pdf
2753,904.61,Small,Mid,excel
2754,937.32,Small,Mid,excel
2755,706.04,Small,Mid,excel
2756,35.69,Small,Lower,doc
2757,17053.20,Medium,Mid,pdf
2758,4559026.45,Large,Mid,pdf
2759,542.72,Small,Mid,pdf
2760,415.10,Small,Lower,excel
2761,272.99,Small,Lower,pdf
2762,373687.09,Large,Lower,pdf
2763,2693904.98,Large,Mid,excel
2764,4226.26,Medium,Lower,pdf
2765,116.81,Small,Lower,excel
2766,799.74,Small,Mid,pdf
2767,993.85,Small,Mid,pdf
2768,930.16,Small,Mid,excel
2769,473.49,Small,Lower,excel
2770,231.66,Small,Lower,excel
2771,104.95,Small,Lower,excel
2772,398.90,Small,Lower,excel
2773,17094.31,Medium,Mid,pdf
2774,351.43,Small,Lower,excel
2775,726758.55,Large,Lower,excel
2776,2654632.74,Large,Mid,pdf
2777,105.31,Small,Lower,excel
2778,9724.43,Medium,Lower,pdf
2779,81.11,Small,Lower,msg
2780,925.11,Small,Mid,pdf
2781,2366386.26,Large,Lower,excel
2782,876.10,Small,Mid,pdf
2783,649.21,Small,Mid,pdf
2784,17682.11,Medium,Mid,excel
2785,6431.82,Medium,Lower,excel
2786,187.86,Small,Lower,excel
2787,808.28,Small,Mid,pdf
2788,655.55,Small,Mid,pdf
2789,15025.54,Medium,Lower,excel
2790,446.40,Small,Lower,excel
2791,443.39,Small,Lower,pdf
2792,9945.11,Medium,Lower,excel
2793,593.93,Small,Mid,excel
2794,6694.78,Medium,Lower,pdf
2795,329.43,Small,Lower,pdf
2796,250.78,Small,Lower,pdf
2797,354.74,Small,Lower,excel
2798,143.27,Small,Lower,pdf
2799,10998.52,Medium,Lower,pdf
2800,3844.77,Medium,Lower,excel
2801,259.21,Small,Lower,pdf
2802,901.41,Small,Mid,excel
2803,464.58,Small,Lower,excel
2804,29411.23,Medium,Mid,pdf
2805,932.07,Small,Mid,pdf
2806,402.12,Small,Lower,pdf
2807,6536.70,Medium,Lower,pdf
2808,18447.90,Medium,Mid,pdf
2809,718.54,Small,Mid,pdf
2810,22192.03,Medium,Mid,excel
2811,585.76,Small,Mid,pdf
2812,12101.92,Medium,Lower,pdf
2813,899.08,Small,Mid,excel
2814,23966.19,Medium,Mid,pdf
2815,26093.09,Medium,Mid,pdf
2816,825.29,Small,Mid,pdf
2817,2330877.45,Large,Lower,excel
2818,139.68,Small,Lower,excel
2819,3017926.59,Large,Mid,excel
2820,518.08,Small,Mid,pdf
2821,14235.02,Medium,Lower,pdf
2822,910.69,Small,Mid,excel
2823,16775.98,Medium,Mid,excel
2824,562.65,Small,Mid,excel
2825,28276.61,Medium,Mid,excel
2826,10.38,Small,Lower,msg
2827,550.43,Small,Mid,pdf
2828,443.70,Small,Lower,excel
2829,771.83,Small,Mid,pdf
2830,27700.36,Medium,Mid,excel
2831,3231619.40,Large,Mid,excel
2832,713.92,Small,Mid,pdf
2833,486.50,Small,Lower,excel
2834,594.65,Small,Mid,pdf
2835,9213.98,Medium,Lower,excel
2836,3175103.13,Large,Mid,pdf
2837,180.16,Small,Lower,pdf
2838,2682366.10,Large,Mid,pdf
2839,20227.80,Medium,Mid,pdf
2840,8.34,Small,Lower,msg
2841,3488463.33,Large,Mid,excel
2842,3329905.38,Large,Mid,pdf
2843,891989.07,Large,Lower,excel
2844,29874.35,Medium,Mid,pdf
2845,682.74,Small,Mid,pdf
2846,998.24,Small,Mid,excel
2847,10.67,Small,Lower,msg
2848,809.53,Small,Mid,excel
2849,5352.80,Medium,Lower,pdf
2850,154.00,Small,Lower,pdf
2851,11870.77,Medium,Lower,excel
2852,947.62,Small,Mid,excel
2853,956.83,Small,Mid,pdf
2854,22881.55,Medium,Mid,excel
2855,76.45,Small,Lower,doc
2856,2241482.92,Large,Lower,excel
2857,21274.72,Medium,Mid,excel
2858,20812.62,Medium,Mid,pdf
2859,2325103.02,Large,Lower,excel
2860,42.53,Small,Lower,msg
2861,767.35,Small,Mid,excel
2862,3598.02,Medium,Lower,pdf
2863,624.94,Small,Mid,pdf
2864,870.80,Small,Mid,pdf
2865,425.57,Small,Lower,excel
2866,350.09,Small,Lower,excel
2867,910927.26,Large,Lower,excel
2868,4400.24,Medium,Lower,pdf
2869,18217.61,Medium,Mid,excel
2870,18640.24,Medium,Mid,pdf
2871,438.14,Small,Lower,excel
2872,255.11,Small,Lower,pdf
2873,3513508.05,Large,Mid,excel
2874,495.54,Small,Lower,excel
2875,994.62,Small,Mid,excel
2876,4796898.62,Large,Mid,excel
2877,491.31,Small,Lower,pdf
2878,87.34,Small,Lower,msg
2879,490.63,Small,Lower,excel
2880,268.05,Small,Lower,pdf
2881,290.75,Small,Lower,excel
2882,508.71,Small,Mid,pdf
2883,748.41,Small,Mid,pdf
2884,940.16,Small,Mid,pdf
2885,9499.10,Medium,Lower,excel
2886,430.98,Small,Lower,excel
2887,117.30,Small,Lower,pdf
2888,3453.60,Medium,Lower,pdf
2889,931.01,Small,Mid,excel
2890,909.02,Small,Mid,pdf
2891,541.80,Small,Mid,pdf
2892,209.85,Small,Lower,pdf
2893,649.32,Small,Mid,pdf
2894,307.19,Small,Lower,excel
2895,761.47,Small,Mid,pdf
2896,823.11,Small,Mid,pdf
2897,123.63,Small,Lower,pdf
2898,17994.07,Medium,Mid,pdf
2899,910.41,Small,Mid,pdf
2900,286.78,Small,Lower,pdf
2901,522.60,Small,Mid,excel
2902,162.77,Small,Lower,pdf
2903,202698.80,Large,Lower,pdf
2904,128.89,Small,Lower,pdf
2905,17546.84,Medium,Mid,pdf
2906,532.86,Small,Mid,pdf
2907,34.82,Small,Lower,doc
2908,2755525.48,Large,Mid,excel
2909,29595.62,Medium,Mid,excel
2910,27479.16,Medium,Mid,excel
2911,93.85,Small,Lower,msg
2912,572.22,Small,Mid,excel
2913,10810.76,Medium,Lower,pdf
2914,215.02,Small,Lower,pdf
2915,9779.87,Medium,Lower,pdf
2916,2841738.06,Large,Mid,excel
2917,97.10,Small,Lower,doc
2918,373.11,Small,Lower,excel
2919,25639.66,Medium,Mid,excel
2920,459.77,Small,Lower,pdf
2921,679.00,Small,Mid,pdf
2922,7580.05,Medium,Lower,pdf
2923,152.55,Small,Lower,excel
2924,537.60,Small,Mid,pdf
2925,18061.19,Medium,Mid,pdf
2926,664.12,Small,Mid,excel
2927,628.64,Small,Mid,pdf
2928,169.85,Small,Lower,pdf
2929,640.78,Small,Mid,pdf
2930,15279.84,Medium,Lower,excel
2931,360.22,Small,Lower,pdf
2932,476.44,Small,Lower,pdf
2933,890.43,Small,Mid,pdf
2934,986.07,Small,Mid,pdf
2935,780.76,Small,Mid,excel
2936,1043738.45,Large,Lower,excel
2937,26108.13,Medium,Mid,pdf
2938,398.50,Small,Lower,excel
2939,8545.86,Medium,Lower,pdf
2940,4992.54,Medium,Lower,pdf
2941,13680.53,Medium,Lower,pdf
2942,906.82,Small,Mid,excel
2943,6555.90,Medium,Lower,excel
2944,581.65,Small,Mid,excel
2945,816.32,Small,Mid,excel
2946,532.39,Small,Mid,excel
2947,822.10,Small,Mid,excel
2948,229.07,Small,Lower,pdf
2949,484.65,Small,Lower,excel
2950,399.61,Small,Lower,excel
2951,3658613.33,Large,Mid,pdf
2952,29.55,Small,Lower,doc
2953,622.80,Small,Mid,excel
2954,759.37,Small,Mid,excel
2955,794416.04,Large,Lower,excel
2956,2242880.28,Large,Lower,pdf
2957,2498155.92,Large,Lower,pdf
2958,11300.22,Medium,Lower,pdf
2959,25995.00,Medium,Mid,excel
2960,578.54,Small,Mid,pdf
2961,22.22,Small,Lower,doc
2962,17230.51,Medium,Mid,pdf
2963,22448.64,Medium,Mid,excel
2964,738.21,Small,Mid,pdf
2965,181.36,Small,Lower,excel
2966,311.07,Small,Lower,excel
2967,3087.40,Medium,Lower,pdf
2968,4617106.51,Large,Mid,excel
2969,537.38,Small,Mid,excel
2970,39.34,Small,Lower,msg
2971,188.93,Small,Lower,excel
2972,11901.26,Medium,Lower,pdf
2973,720.74,Small,Mid,pdf
2974,405.70,Small,Lower,pdf
2975,287.11,Small,Lower,excel
2976,251.26,Small,Lower,excel
2977,16670.79,Medium,Mid,excel
2978,97.87,Small,Lower,doc
2979,7527.91,Medium,Lower,excel
2980,659.09,Small,Mid,excel
2981,2100.95,Medium,Lower,excel
2982,3737.58,Medium,Lower,pdf
2983,102.06,Small,Lower,excel
2984,955.86,Small,Mid,excel
2985,416.04,Small,Lower,pdf
2986,518.00,Small,Mid,pdf
2987,305.20,Small,Lower,pdf
2988,27427.51,Medium,Mid,excel
2989,302.36,Small,Lower,excel
2990,11141.99,Medium,Lower,excel
2991,695.03,Small,Mid,excel
2992,16610.78,Medium,Mid,excel
2993,8049.39,Medium,Lower,excel
2994,9862.19,Medium,Lower,pdf
2995,909.63,Small,Mid,pdf
2996,5436.74,Medium,Lower,pdf
2997,6495.26,Medium,Lower,pdf
2998,12915.83,Medium,Lower,pdf
2999,450.72,Small,Lower,pdf
3000,471.53,Small,Lower,pdf
3001,89.07,Small,Lower,msg
3002,342.80,Small,Lower,excel
3003,11097.01,Medium,Lower,pdf
3004,11964.38,Medium,Lower,excel
3005,15657.64,Medium,Mid,pdf
3006,624.65,Small,Mid,excel
3007,9369.96,Medium,Lower,excel
3008,7778.06,Medium,Lower,excel
3009,700.71,Small,Mid,pdf
3010,4742465.55,Large,Mid,excel
3011,51.73,Small,Lower,doc
3012,1121562.31,Large,Lower,excel
3013,15643.56,Medium,Mid,pdf
3014,154.87,Small,Lower,excel
3015,477.68,Small,Lower,pdf
3016,1388605.32,Large,Lower,excel
3017,2763.76,Medium,Lower,pdf
3018,290.45,Small,Lower,pdf
3019,433.33,Small,Lower,pdf
3020,3162.77,Medium,Lower,excel
3021,28203.47,Medium,Mid,excel
3022,315.57,Small,Lower,excel
3023,23782.89,Medium,Mid,pdf
3024,594.24,Small,Mid,excel
3025,659.16,Small,Mid,excel
3026,28493.25,Medium,Mid,excel
3027,255.71,Small,Lower,excel
3028,7589.61,Medium,Lower,excel
3029,521.08,Small,Mid,pdf
3030,19876.86,Medium,Mid,excel
3031,28.69,Small,Lower,msg
3032,6476.20,Medium,Lower,pdf
3033,233.23,Small,Lower,pdf
3034,341269.83,Large,Lower,pdf
3035,17686.15,Medium,Mid,excel
3036,489024.19,Large,Lower,pdf
3037,875.10,Small,Mid,excel
3038,318.68,Small,Lower,excel
3039,427.96,Small,Lower,pdf
3040,874.69,Small,Mid,pdf
3041,845.54,Small,Mid,pdf
3042,229.29,Small,Lower,excel
3043,76.46,Small,Lower,msg
3044,634.24,Small,Mid,excel
3045,4010412.70,Large,Mid,pdf
3046,77.10,Small,Lower,doc
3047,929.43,Small,Mid,excel
3048,409.85,Small,Lower,excel
3049,1098553.12,Large,Lower,pdf
3050,2150.07,Medium,Lower,pdf
3051,17647.05,Medium,Mid,pdf
3052,16102.13,Medium,Mid,pdf
3053,13393.50,Medium,Lower,excel
3054,20004.75,Medium,Mid,pdf
3055,17657.80,Medium,Mid,pdf
3056,20713.23,Medium,Mid,excel
3057,4185448.75,Large,Mid,excel
3058,96.72,Small,Lower,msg
3059,867.45,Small,Mid,pdf
3060,7697.88,Medium,Lower,pdf
3061,11050.65,Medium,Lower,excel
3062,517.76,Small,Mid,pdf
3063,11080.68,Medium,Lower,pdf
3064,242.75,Small,Lower,pdf
3065,3861.26,Medium,Lower,excel
3066,472.60,Small,Lower,pdf
3067,22974.87,Medium,Mid,excel
3068,211.81,Small,Lower,excel
3069,268.09,Small,Lower,excel
3070,2730.82,Medium,Lower,pdf
3071,278.14,Small,Lower,pdf
3072,421.72,Small,Lower,pdf
3073,786.36,Small,Mid,pdf
3074,3613302.22,Large,Mid,excel
3075,916.92,Small,Mid,excel
3076,857.55,Small,Mid,excel
3077,5160.37,Medium,Lower,excel
3078,29860.52,Medium,Mid,excel
3079,2538.72,Medium,Lower,pdf
3080,19990.49,Medium,Mid,excel
3081,23383.05,Medium,Mid,pdf
3082,761.15,Small,Mid,pdf
3083,12232.59,Medium,Lower,excel
3084,825.94,Small,Mid,pdf
3085,16609.68,Medium,Mid,pdf
3086,139.60,Small,Lower,excel
3087,24239.82,Medium,Mid,excel
3088,729.10,Small,Mid,pdf
3089,450.23,Small,Lower,pdf
3090,285.91,Small,Lower,excel
3091,876.19,Small,Mid,excel
3092,11.26,Small,Lower,doc
3093,9.60,Small,Lower,doc
3094,375.48,Small,Lower,pdf
3095,22783.28,Medium,Mid,excel
3096,42.94,Small,Lower,doc
3097,381.94,Small,Lower,excel
3098,2808.11,Medium,Lower,excel
3099,19824.10,Medium,Mid,pdf
3100,14224.50,Medium,Lower,pdf
3101,201.35,Small,Lower,pdf
3102,657.66,Small,Mid,excel
3103,22834.21,Medium,Mid,excel
3104,6696.05,Medium,Lower,pdf
3105,293.01,Small,Lower,excel
3106,2216.78,Medium,Lower,excel
3107,682.15,Small,Mid,excel
3108,27176.57,Medium,Mid,pdf
3109,28167.39,Medium,Mid,pdf
3110,947.35,Small,Mid,pdf
3111,811.51,Small,Mid,pdf
3112,729.38,Small,Mid,pdf
3113,952.57,Small,Mid,excel
3114,1856.58,Medium,Lower,excel
3115,280.85,Small,Lower,pdf
3116,49.05,Small,Lower,doc
3117,912.86,Small,Mid,pdf
3118,443835.40,Large,Lower,excel
3119,442.52,Small,Lower,excel
3120,511.69,Small,Mid,excel
3121,9.74,Small,Lower,msg
3122,3880.97,Medium,Lower,pdf
3123,27410.10,Medium,Mid,pdf
3124,848.36,Small,Mid,excel
3125,318.90,Small,Lower,excel
3126,859.10,Small,Mid,excel
3127,2004656.35,Large,Lower,pdf
3128,17759.94,Medium,Mid,pdf
3129,24323.17,Medium,Mid,pdf
3130,21416.52,Medium,Mid,pdf
3131,128.47,Small,Lower,pdf
3132,22865.60,Medium,Mid,pdf
3133,20438.99,Medium,Mid,pdf
3134,170.85,Small,Lower,pdf
3135,988.07,Small,Mid,excel
3136,173.84,Small,Lower,pdf
3137,414.92,Small,Lower,excel
3138,22483.74,Medium,Mid,pdf
3139,10565.80,Medium,Lower,excel
3140,3118.26,Medium,Lower,excel
3141,764.94,Small,Mid,excel
3142,14331.16,Medium,Lower,pdf
3143,879.29,Small,Mid,excel
3144,198.85,Small,Lower,pdf
3145,104.11,Small,Lower,excel
3146,377.49,Small,Lower,pdf
3147,510.99,Small,Mid,excel
3148,263.74,Small,Lower,excel
3149,907.23,Small,Mid,pdf
3150,315.82,Small,Lower,excel
3151,298.87,Small,Lower,excel
3152,279.93,Small,Lower,excel
3153,486725.17,Large,Lower,excel
3154,12160.27,Medium,Lower,pdf
3155,19434.74,Medium,Mid,excel
3156,709.43,Small,Mid,pdf
3157,11081.99,Medium,Lower,excel
3158,541.73,Small,Mid,excel
3159,618.67,Small,Mid,pdf
3160,2561603.38,Large,Mid,pdf
3161,585.74,Small,Mid,excel
3162,1823.96,Medium,Lower,excel
3163,2158703.96,Large,Lower,pdf
3164,420.16,Small,Lower,pdf
3165,226.44,Small,Lower,pdf
3166,35.82,Small,Lower,doc
3167,7534.84,Medium,Lower,pdf
3168,6083.70,Medium,Lower,pdf
3169,209.53,Small,Lower,pdf
3170,17838.02,Medium,Mid,pdf
3171,861.76,Small,Mid,excel
3172,5134.63,Medium,Lower,excel
3173,454.10,Small,Lower,excel
3174,846.91,Small,Mid,excel
3175,21782.29,Medium,Mid,excel
3176,198.48,Small,Lower,pdf
3177,425.04,Small,Lower,pdf
3178,460.48,Small,Lower,pdf
3179,390.94,Small,Lower,excel
3180,695.71,Small,Mid,pdf
3181,848.53,Small,Mid,excel
3182,979.22,Small,Mid,excel
3183,7848.51,Medium,Lower,pdf
3184,21317.44,Medium,Mid,excel
3185,1893.01,Medium,Lower,pdf
3186,491.14,Small,Lower,excel
3187,16981.83,Medium,Mid,pdf
3188,20836.02,Medium,Mid,pdf
3189,22735.22,Medium,Mid,pdf
3190,13622.74,Medium,Lower,excel
3191,837.53,Small,Mid,excel
3192,12493.08,Medium,Lower,excel
3193,25221.67,Medium,Mid,excel
3194,1577.58,Medium,Lower,excel
3195,398.06,Small,Lower,pdf
3196,17.58,Small,Lower,msg
3197,6505.08,Medium,Lower,excel
3198,691.60,Small,Mid,pdf
3199,10492.52,Medium,Lower,pdf
3200,104.45,Small,Lower,pdf
3201,934.42,Small,Mid,pdf
3202,734.66,Small,Mid,excel
3203,77.16,Small,Lower,msg
3204,26021.17,Medium,Mid,pdf
3205,513744.50,Large,Lower,excel
3206,24866.87,Medium,Mid,pdf
3207,831.70,Small,Mid,pdf
3208,161.94,Small,Lower,pdf
3209,207.63,Small,Lower,excel
3210,20689.06,Medium,Mid,pdf
3211,2241.11,Medium,Lower,excel
3212,31.48,Small,Lower,doc
3213,628.57,Small,Mid,pdf
3214,966.72,Small,Mid,pdf
3215,2114634.30,Large,Lower,excel
3216,80.82,Small,Lower,doc
3217,530.70,Small,Mid,pdf
3218,976.22,Small,Mid,pdf
3219,22988.52,Medium,Mid,pdf
3220,28017.15,Medium,Mid,pdf
3221,2055223.70,Large,Lower,pdf
3222,363.57,Small,Lower,pdf
3223,175.38,Small,Lower,excel
3224,182.49,Small,Lower,pdf
3225,145.41,Small,Lower,excel
3226,758.23,Small,Mid,excel
3227,4900.51,Medium,Lower,pdf
3228,821.21,Small,Mid,pdf
3229,530.15,Small,Mid,excel
3230,277.75,Small,Lower,pdf
3231,390.23,Small,Lower,excel
3232,270.77,Small,Lower,pdf
3233,915.66,Small,Mid,excel
3234,14388.65,Medium,Lower,pdf
3235,696.61,Small,Mid,pdf
3236,181.20,Small,Lower,pdf
3237,5107.08,Medium,Lower,pdf
3238,9438.68,Medium,Lower,pdf
3239,16690.34,Medium,Mid,excel
3240,358.58,Small,Lower,pdf
3241,774.44,Small,Mid,excel
3242,2699.40,Medium,Lower,pdf
3243,6374.10,Medium,Lower,excel
3244,25548.81,Medium,Mid,excel
3245,15216.81,Medium,Lower,excel
3246,27563.97,Medium,Mid,pdf
3247,16205.65,Medium,Mid,pdf
3248,12764.87,Medium,Lower,pdf
3249,998106.78,Large,Lower,pdf
3250,661.84,Small,Mid,excel
3251,607840.35,Large,Lower,pdf
3252,285.90,Small,Lower,pdf
3253,401.62,Small,Lower,pdf
3254,321.49,Small,Lower,pdf
3255,4281482.75,Large,Mid,pdf
3256,622.42,Small,Mid,excel
3257,125.39,Small,Lower,excel
3258,25804.49,Medium,Mid,pdf
3259,522.23,Small,Mid,excel
3260,936.64,Small,Mid,excel
3261,26399.94,Medium,Mid,pdf
3262,21396.83,Medium,Mid,pdf
3263,7399.90,Medium,Lower,pdf
3264,28496.05,Medium,Mid,excel
3265,96.94,Small,Lower,doc
